Pair,CAGR,Annualized Mean,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Win Rate,p-value
TFC-USB,0.06326959355906703,0.06735290411522636,0.10972976507238667,0.6138070565520204,0.969281452197816,-0.15130774440149108,0.1816272965879265,0.013454479173902077
BAC-PNC,0.08076116597419847,0.09098943328430631,0.16345995764110616,0.5566466221903921,0.8806484689224504,-0.19822641197997148,0.15223097112860892,0.003503925247272571
