Date,BAC,BK,C,GS,JPM,MS,PNC,TFC,USB,WFC
2021-10-04,39.163818359375,46.9478645324707,61.3745002746582,337.97027587890625,150.1360321044922,84.72767639160156,170.30113220214844,49.22625732421875,50.9942741394043,42.5359992980957
2021-10-05,39.95901870727539,48.34254455566406,62.44203567504883,348.50274658203125,152.58779907226562,86.51555633544922,172.36447143554688,49.41480255126953,51.63454818725586,43.386348724365234
2021-10-06,39.97710037231445,48.44913864135742,62.347354888916016,350.5260925292969,152.91348266601562,86.42832946777344,172.64817810058594,49.29183578491211,51.76934051513672,43.30492401123047
2021-10-07,39.86865234375,48.44025421142578,62.14933395385742,352.8476257324219,153.88153076171875,86.16667938232422,173.4906768798828,49.611541748046875,52.13159942626953,43.20542526245117
2021-10-08,40.06746292114258,49.60396194458008,62.287086486816406,354.8258972167969,153.99913024902344,87.24813842773438,174.3159942626953,49.865657806396484,52.51070785522461,43.42253494262695
2021-10-11,39.56142044067383,49.3196907043457,61.710269927978516,347.9878234863281,150.7602996826172,84.84976959228516,172.84588623046875,49.37381362915039,52.106327056884766,42.77119827270508
2021-10-12,39.34455108642578,49.31081008911133,60.81491470336914,349.15313720703125,149.6022186279297,85.27710723876953,174.78025817871094,49.37381362915039,51.94625473022461,42.20127487182617
2021-10-13,38.98309326171875,49.11538314819336,60.48777389526367,348.9543762207031,145.65773010253906,85.96609497070312,173.456298828125,49.11968231201172,51.77775955200195,41.65849685668945
2021-10-14,40.72712707519531,50.25242614746094,60.952667236328125,353.37152099609375,147.8923797607422,88.09410095214844,175.17779541015625,49.70990753173828,50.61516571044922,40.98905944824219
2021-10-15,41.90185546875,50.77654266357422,62.23543930053711,366.8036193847656,150.73313903808594,89.07962799072266,172.2624969482422,50.28373718261719,50.74153518676758,43.766300201416016
2021-10-18,41.820526123046875,50.998619079589844,61.64999008178711,373.6867370605469,150.67886352539062,88.44296264648438,173.7417449951172,50.62803268432617,51.03639602661133,44.716163635253906
2021-10-19,42.00125503540039,51.21181869506836,61.779136657714844,372.3047180175781,152.50634765625,88.739501953125,178.92355346679688,51.29203414916992,51.68510055541992,45.53937911987305
2021-10-20,42.5524787902832,52.686439514160156,61.83080291748047,368.4476623535156,154.56002807617188,87.78886413574219,184.0880584716797,52.36591339111328,52.7213249206543,45.376556396484375
2021-10-21,42.31752395629883,53.068424224853516,60.70298767089844,368.1766357421875,153.34776306152344,87.45746612548828,184.0275421142578,52.11997985839844,52.384334564208984,45.53034591674805
2021-10-22,42.986209869384766,53.04176330566406,61.443382263183594,374.255859375,155.4104766845703,88.7831039428711,186.92552185058594,52.824974060058594,52.85611343383789,45.82887268066406
2021-10-25,42.93199920654297,52.76638412475586,60.978492736816406,374.644287109375,154.65052795410156,88.87904357910156,187.3407440185547,52.931541442871094,52.6707763671875,45.79267883300781
2021-10-26,43.33864212036133,52.49989318847656,60.82352828979492,377.2276916503906,155.0666961669922,90.23955535888672,186.91688537597656,52.824974060058594,52.603389739990234,45.80172348022461
